Team,1,2,3,4,5,6,7,8,9,R,H,E,Game,10,11,12,13,14,15,16,17,18,19
CHW,0,0,0,0,0,1,2,0,0,3,9,0,360413109,,,,,,,,,,
MIN,0,0,0,0,0,0,0,0,0,0,4,0,360413109,,,,,,,,,,
KC,0,0,0,0,0,2,0,2,0,4,8,1,360413118,,,,,,,,,,
HOU,0,0,0,0,0,1,1,0,0,2,6,1,360413118,,,,,,,,,,
MIL,1,0,0,1,2,0,0,0,2,6,9,1,360413124,,,,,,,,,,
STL,3,0,0,0,0,0,0,1,0,4,6,2,360413124,,,,,,,,,,
SF,0,0,2,0,3,0,0,1,0,6,7,1,360413127,,,,,,,,,,
COL,2,0,3,1,0,1,0,3,-,10,18,0,360413127,,,,,,,,,,
ARI,0,0,1,0,0,0,0,0,0,1,5,3,360413119,,,,,,,,,,
LAD,0,0,0,1,2,0,0,0,-,3,7,0,360413119,,,,,,,,,,
DET,0,0,0,2,0,0,2,3,0,7,9,2,360414123,,,,,,,,,,
PIT,0,0,0,0,0,0,3,1,0,4,14,1,360414123,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,3,1,360414122,,,,,,,,,,
PHI,0,1,0,0,0,1,1,0,-,3,3,0,360414122,,,,,,,,,,
CHW,1,0,0,1,0,0,1,0,0,3,9,1,360414109,,,,,,,,,,
MIN,0,0,0,1,0,0,0,0,0,1,4,1,360414109,,,,,,,,,,
CLE,0,0,0,0,1,3,1,0,1,6,13,0,360414130,,,,,,,,,,
TB,0,0,0,0,0,0,0,0,0,0,5,2,360414130,,,,,,,,,,
MIL,0,0,0,0,0,0,0,0,0,0,1,0,360414124,,,,,,,,,,
STL,0,3,2,0,0,0,2,0,-,7,11,0,360414124,,,,,,,,,,
SF,0,0,0,1,0,0,3,2,0,6,9,1,360414127,,,,,,,,,,
COL,0,0,0,0,9,0,0,2,-,11,13,3,360414127,,,,,,,,,,
ATL,0,0,1,0,0,0,0,1,0,2,5,0,360414120,,,,,,,,,,
WSH,0,0,4,1,0,1,0,0,-,6,6,0,360414120,,,,,,,,,,
NYY,0,0,0,2,0,0,0,0,0,2,3,0,360414114,,,,,,,,,,
TOR,0,0,0,0,3,1,0,0,-,4,8,0,360414114,,,,,,,,,,
CIN,0,0,0,0,0,0,0,0,1,1,6,2,360414116,,,,,,,,,,
CHC,0,1,0,0,2,0,0,5,-,8,11,0,360414116,,,,,,,,,,
BAL,0,0,1,1,0,1,0,0,0,3,9,0,360414113,,,,,,,,,,
TEX,0,0,1,0,0,5,0,0,-,6,10,0,360414113,,,,,,,,,,
KC,1,0,0,0,0,5,0,0,0,6,13,0,360414118,,,,,,,,,,
HOU,0,0,0,0,0,0,1,0,1,2,5,0,360414118,,,,,,,,,,
ARI,0,0,0,0,1,1,0,0,0,2,6,1,360414119,,,,,,,,,,
LAD,0,0,0,0,0,0,5,0,-,5,8,0,360414119,,,,,,,,,,
COL,0,1,0,0,0,2,1,2,0,6,11,1,360415116,,,,,,,,,,
CHC,0,0,0,0,0,0,1,0,0,1,4,4,360415116,,,,,,,,,,
SEA,0,0,0,1,2,1,1,1,1,7,12,0,360415110,,,,,,,,,,
NYY,1,0,0,0,0,0,0,0,0,1,6,1,360415110,,,,,,,,,,
